Year,Artist,Title,Genre,Streams(Millions)
,Loud Luxury,Gummy,-,
,Kordhell,I FEEL ALIVE,*Phonk House,
,Alok,Symphonia,Brazilian Bass,
,Syn Cole,Follow Me - VIP,,
,Chris Lake,California,Bass House,
,GRiZ,PS GFY,,
,Gorgon City,Here For You,Deep House,
,Armand Van Helden,Wings (I Won't Let You Down),Funky House,
,Bakermat,Temptation,Hi-NRG,
,Don Diablo,Sun In Our Eyes,Future House,
2022,Hensonn,Fear,Phonk House,
,Party Favor,Work It Out,Hybrid Trap,
,Clarx,H.A.Y,Moombahcore,
,Avicii,Derezzed,Festival Progressive House,
,Netsky,Thunder,,
,Griffith Clawson,Leave Me Now,,
,Kungs,More Mess,Deep House,
,Skrillex,Way Back,Liquid Drum & Bass,
,southstar,Typa Girl,,
,Hardwell,We Are Legends,Festival Progressive House,
,Stefanie Heinzmann,Build A House,,
,DubVision,Keep My Light On,Festival Progressive House,
,Steve Void,Whoopty,,
,Zeds Dead,Where The Wild Things Are,Hybrid Trap,
,ILLENIUM,Sad Songs,Chillstep,
,David Guetta,Listen,Festival Progressive House,
,Majestic,Me & U,,
,Dimitri Vegas & Like Mike,Carnival,Big Room House,
,Cedric Gervais,Adore You,Festival Progressive House,
,Dillon Francis,Set Me Free,Complextro,
,Lindsey Stirling,Song Of The Caged Bird,Chillstep,
,Oliver Tree,Turn It Up,Hip House,
,Avicii,Addicted To You - VIP Remix,Festival Progressive House,
,Dimitri Vangelis & Wyman,Horns,-,
2014,R3HAB,Soundwave,Big Room House,
,End Of The World,Lost,Deep House,
,Lindsey Stirling,Transcendence,Progressive House,
,Louis The Child,World On Fire,,
,Vigiland,Strangers,,
,Y.V.E. 48,Fast Car,,
,ARTY,Up All Night,Festival Progressive House,
,EDX,I'm Not Alright,,
,Alesso,Only You,Festival Progressive House,
,Dimitri Vangelis & Wyman,Horns,-,
,Matoma,Beside You,-,
,Don Diablo,Love On The Brain,,
,Felix Jaehn,Cut The Cord,-,
,Sigala,Feels This Good,Future House,
,Liu,Pirate,,
,Steve Aoki,Do It Again,Bass House,
,Lane 8,Little By Little,,
,Mura Masa,bbycakes,2-Step,
,Madeon,La Lune,,
,Armin van Buuren,Need You Now,Euro House,
1996,Mr. President,I Give You My Heart,Eurodance,
,Yves V,Halfway,Brazilian Bass,
,AFROJACK,Worlds On Fire,Future House,
,89ers,No Go Go Go!,Electro House,
,Fred again..,Clara (the night is dark),Stutter House,
,VINAI,Superman,Slap House,
,David Guetta,The Alphabeat,French Electro,
,Eden Prince,Mad World,,
,HUGEL,Aguila,Tech House,
,Marnik,All Around The World (La La La),,
,Kaskade,Last Chance,Festival Progressive House,
,Rennan De Penha,Baila Conmigo,,
2017,Da Tweekaz,Us Against The World,,
,Lucas Estrada,Won't Let Go,,
2017,Amtrac,When Will I See You Again,*Deep House,
,ODESZA,Wide Awake,Progressive House,
,The Prodigy,Warrior's Dance,Hardcore Breaks,
,Sigma,Higher,Liquid Drum & Bass,
,Timmy Trumpet,Up & Down,Melbourne Bounce,
,Lucas & Steve,Paper Planes,Festival Progressive House,
,High Contrast,Remind Me,Liquid Drum & Bass,
,Sick Individuals,Symphony,Festival Progressive House,
2019,Urbandawn,Come Together,Neurofunk,
2021,Two Friends,Life's Too Short,-,
,Feder,Call Me Papi,,
2001,Barthezz,On The Move,Progressive Trance,
,Mike Perry,If I Ruled The World,Slap House,
,Dillon Francis,Goodies,Tech House,
,Marshmello,Flash Funk,,
,David Guetta,The Alphabeat,Electro House,
,The Chemical Brothers,Got To Keep On,Nu-Disco,
,Purple Disco Machine,Rain On Me,Nu-Disco,
,Martin Garrix,Bouncybob,Future Bounce,
,Icona Pop,We Got The World,Electro House,
,Mike Geno,Zavodilla,,
,Cages,Turn Off The Lights,,
,Tiësto,Let's Go,Festival Progressive House,
,Skrillex,Ruffneck - Full Flex,Brostep,
2020,Richello,All We Are,Festival Progressive House,
2018,Sefa,Get It Crackin,Frenchcore,
,Lost Kings,I Won't Let You Walk Away,*Festival Progressive House,
,The Chemical Brothers,Got To Keep On,Funky House,
,SG Lewis,Feed The Fire,Nu-Disco,
,Nora En Pure,Birthright,-,
,Darius & Finlay,Tropicali - Club Mix,,
,The Chemical Brothers,Got To Keep On,Tech House,
,Da Tweekaz,We Go Up,,
,Alok,Body On My Mind,Slap House,
,Flume,Lose It,Wonky,
,MDK,Press Start,Complextro,
,Vigiland,Addicted,,
2024,6YNTHMANE,Ashi Ashi,,
,ARTY,Last Kiss,Ambient House,
,Pendulum,Crush,Dancefloor Drum & Bass,
,Jauz,Feel The Volume,Bass House,
2012,Remady,Single Ladies,Electro House,
,Just A Gent,Fortress,Festival Progressive House,
,Tevvez,Frozen In Time,Euphoric Hardstyle,
,Robin Schulz,Save Tonight,Tropical House,
,AREA21,Followers,Drum & Bass,
,Icona Pop,We Got The World,Festival Progressive House,
,Danny Avila,I Don't Know Why,,
,Little Big,UNO,Hardbass,
,HUGEL,Aguila,Latin House,
,Mylo,Drop The Pressure,Electro House,
,Avicii,Shame On Me,Festival Progressive House,
2001,Barthezz,On The Move,Uplifting Trance,
,Alan Walker,Endless Summer,Festival Progressive House,
,Raaster,Used To Be,,
,Avicii,Shame On Me,Electro Swing,
2023,Jamie Jones,Lose My Mind,Deep House,
2023,The Blessed Madonna,Mercy,Funky House,
,Sam Feldt,Home Sweet Home,Brazilian Bass,
2022,Vibe Chemistry,Balling,Drum & Bass,
,SG Lewis,Feed The Fire,Funky House,
,Junge Junge,Beautiful Girl,,
,Lucas & Steve,Let's Go,Future Bounce,
,KSHMR,Do Bad Well,Psytrance,
,Approaching Nirvana,Revenge,,
,Seeb,Waterfall,Moombahton,
,R3HAB,I Would Like,Future Bass,
,Major Lazer,Despacito,Moombahton,
,Syn Cole,Californication,,
,Firebeatz,No Heroes,Big Room House,
,Speaker Of The House,One Last Night On Earth,,
,KVSH,Bem Melhor,,
,Alok,Metaphor,Psytrance,
,TheFatRat,Jackpot,,
,Diviners,Tropic Love,Tropical House,
2018,W&W,God Is A Girl,Hands Up,
,Steve Aoki,Bella Ciao,Big Room House,
2019,ROY KNOX,Lost In Sound,Drumstep,
2021,SOMMA,Troubles,,
2022,Zombic,Be My Lover,,
,Sonny Fodera,Into You,,
,Hollywood Undead,Another Level,Trap,
,Purple Disco Machine,Don't Start Now,,
,Robin Schulz,Sweet Goodbye,Slap House,
,Martin Garrix,Dragon,Festival Progressive House,
,AREA22,We Did It,Future Bass,
,Cheat Codes,No Chill,Future House,
,Don Diablo,The Same Way,Future House,
,Carl Cox,Finder,,
,Bruno Martini,Save Me,,
,Blasterjaxx,Beautiful World,Big Room House,
,Hallman,Starfield,,
2020,KLOUD,BLOOD,Midtempo Bass,
,Galantis,Pillow Fight,Festival Progressive House,
,ITZY,UNTOUCHABLE,Future Bounce,
,Jerome,You & Me,,
,Gabry Ponte,Che Ne Sanno I 200,-,
,KAYTRANADA,Gray Area,,
,GAMER & DADONI,Creep,,
,Kygo,Feels Like Forever,,
2019,8 Graves,Bury Me Low,Future Bass,
,Disclosure,Jaded,Future House,
,le Shuuk,You & Me,,
,Cheat Codes,Do It All Over,Future Bass,
,Lindsey Stirling,7 Years,,
,Mike Candys,Overdose,,
,Gorgon City,Voodoo,Progressive House,
,Icona Pop,Girlfriend,Electro House,
,Disclosure,Jaded,Deep House,
,Dillon Francis,Shivers,Slap House,
,Y.V.E. 48,Montrose Avenue,,
,Surf Mesa,Be Kind,,
,Bingo Players,Devotion - 2020 Remix,Tech House,
,Marshmello,ESTILAZO,Hip House,
,Valexus,Prada,Hard Techno,
,Tiësto,Coming Home,Future Bounce,
,WEISS,You're Sunshine,Garage House,
,Kygo,Freeze,Progressive House,
,Wideboys,Solo,Future Garage,
,Skrillex,Stranger,Future Garage,
,Armin van Buuren,Intense,Big Room Trance,
,Arem Ogzuc,Rampapapam,,
,Jebroer,Me Gabber,,
,Klaas,Close To You,-,
,HBz,Gästeliste +1,-,
,Steve Void,Mr. Saxobeat,Slap House,
2024,Kungs,All Night Long,Garage House,
2022,piri & tommy,soft spot,Liquid Drum & Bass,
,Borgore,Wild Out,Big Room House,
,Flume,Blue,Trap,
,Steve Angello,Children Of The Wild,Festival Progressive House,
,James Hype,I Was Lovin' You,Diva House,
,ECKO,Dorado,,
,Daft Punk,TRON Legacy (End Titles),Electro,
,Tiësto,Your Love (9PM),Slap House,
,R3HAB,Strong,Big Room House,
,Jay Hardway,EDM Bubble,Big Room House,
,Hardwell,Ping Pong,Big Room House,
,Angerfist,Solid Stigma,Nu Style Gabber,
,Bruno Martini,Cry About It Later,Big Room House,
,Mabel,Good Luck,Garage House,
,Prezioso,Halo,-,
,Lindsey Stirling,Beyond The Veil,Melodic Dubstep,
,Skan,Living Hell,Trap,
,Ofenbach,4U,Slap House,
,Wideboys,Solo,Future House,
,Mark Sixma,When In Rome,-,
,Flume,My Boo,Future Bass,
,RL Grime,Waiting ,Heaven Trap,
,Jonas Blue,Perfect Melody,Slap House,
,Audien,One Last Dance,Progressive House,
,FAÏS,Used To Have It All,Future House,
,Hardwell,How We Do,Electro House,
,HBz,Shots,,
,Joachim Pastor,Fever,,
,Bob Sinclar,Cinderella (She Said Her Name),,
,Ashworth,No Promises,-,
,Alok,Domino,Progressive House,
,Jay Hardway,EDM Bubble,Bass House,
,PNAU,You Know What I Need,Nu-Disco,
,Dimitri Vegas & Like Mike,Heard About Me,Tropical House,
,Galantis,Pillow Fight,Electro House,
,R3HAB,Icarus,Future House,
,Gimbal & Sinan,Insomnia,,
,Galantis,Pillow Fight,Tropical House,
,Odetari,I <3 LATINAS,Jersey Club,
,Alesso,TIME,Electro House,
,Gryffin,Clearest Blue,Future House,
,MK,I Went Too Far,,
,Bruno Martini,Cry About It Later,Psytrance,
2024,Charli XCX,Club Classics,Bubblegum Bass,
,Elektronomia,Energy,Electro House,
,Deepend,Hold On,,
,BUNT.,Unbreakable,Festival Progressive House,
,Klingande,Losing U,Tropical House,
,Klingande,Losing U,Tropical House,
,Jim Yosef,Linked,Electro House,
,Stan Christ,Trepidation,Industrial Techno,
,ILLENIUM,Fortress,Melodic Dubstep,
,R3HAB,Wrong Move,Future House,
,Clean Bandit,Extraordinary,House,
,Leona Lewis,Collide,House,
,Lost Kings,Ghost,,
,GAMER & DADONI,My Lovin',Slap House,
,Matoma,2AM,,
,Avicii,All You Need Is Love,,
,ILLENIUM,Hold On,Future Bass,
,Prismo,Weakness,Future Bass,
,ChildsPlay,Lose Control,,
,Broiler,I Can't Say No!,,
,ILLENIUM,Fortress,Future Bass,
,Bhavi,Zigzag,,
,Bhaskar,Infinito Particular,,
,Axwell /\ Ingrosso ,Renegade,French Electro,
,Gryffin,Piece Of Me,Future House,
,Axwell /\ Ingrosso ,Renegade,French House,
,Flux Pavilion,Thief,Melodic Dubstep,
,Dillon Francis,Real Love,Slap House,
,Gryffin,Caught Up,Future House,
,Cabu,Empty Room,,
,Audien,Never Letting Go,Festival Progressive House,
,ODESZA,IPlayYouListen,Wonky,
,Marnik,Alone,Eurodance,
,Fedde Le Grand,All Over The World,Future House,
,Joost,Europapa,Eurodance,
,Armin van Buuren,One More Time,Festival Progressive House,
,Becky Hill,Side Effects,Tech House,
,Alan Walker,Unity,Festival Progressive House,
,Vigiland,UFO - Trap Edit,,
,Michael Calfan,Wild Night,House,
,Flight Facilities,Need You,Deep House,
,KAYTRANADA,Need It,Hip House,
,Tiësto,Obsessed,Slap House,
,Dash Berlin,Waiting,Vocal Trance,
,The Chainsmokers,Riptide,Future Bass,
,Peking Duk,Let You Down,-,
,Taska Black,Running Away,Future Bass,
,Marnik,Gam Gam,-,
,Prezioso,Voglio Vederti Danzare,,
,Rynx,U-RITE,-,
,Jerome,Staring At The Bottle,,
,The Prodigy,Voodoo People,Belgian Techno,
,Robert Miles,One And One,Vocal Trance,
,Andrew Rayel,Takeaway,Big Room Trance,
,Sub Focus,Illuminate,Dancefloor Drum & Bass,
,ILLENIUM,Hold On,Melodic Dubstep,
,Above & Beyond,Sun & Moon,Vocal Trance,
,Martin Jensen,2019,Melbourne Bounce,
,K-391,Earth,Drumstep,
,Yanou,Everytime We Touch,,
,Adventure Club,Lullabies,Melodic Dubstep,
,Ozuna,Eres Top,,
,Whethan,Be Like You,-,
,Clean Bandit,Extraordinary,UK Funky,
,The Chainsmokers,Save Yourself,Brostep,
,The Prodigy,Voodoo People,Big Beat,
,Gianluca Vacchi,Sigamos Bailando,,
,De Hofnar,Klanga,-,
,Gorgon City,Go All Night,Garage House,
,Leona Lewis,Collide,Electro House,
,Krewella,Come & Get It,Dancefloor Drum & Bass,
,Klangkarussell,Moments,,
,Robert Miles,One And One,Dream Trance,
,Jonas Blue,I Wanna Dance,Deep House,
,Michael Calfan,No Lie,Deep House,
,KREAM,What You've Done To Me,Tech House,
,Dimitri Vegas & Like Mike,Mexico,Slap House,
,Lost Sky,Lost,Future Bass,
,Marnik,Alone,Melbourne Bounce,
,Stan Christ,Trepidation,Hard Techno,
,K-391,Earth,Melodic Dubstep,
,Tiësto,Chills (LA Hills),Slap House,
,Topic,You,,
,Tiësto,Resilient,Electro House,
,ItaloBrothers,Love Is On Fire,Hands Up,
,DROELOE,Running Away,Future Bass,
,Tinashe,Save Room For Us,Nu-Disco,
,The Chemical Brothers,Let Forever Be,Big Beat,
,Paul Woolford,HEAT,Garage House,
,REZZ,Sacrificial,Midtempo Bass,
,Gesaffelstein,Pursuit,Midtempo Bass,
,Dada Life,This Time (Never Be Alone Again),Future Rave,
,Jungle,Candle Flame,Nu-Disco,
,Tiësto,Obsessed,Electro House,
,Claptone,Puppet Theatre,,
,Skrillex,Butterflies,Speed Garage,
,Dillon Francis,Real Love,Garage House,
,Jonas Blue,I Wanna Dance,Progressive House,
,Tinlicker,Tell Me,Progressive House,
,Skrillex,Butterflies,Future House,
,Hayden James,Nowhere To Go,Nu-Disco,
,Robin Schulz,A Sky Full Of Stars,Tropical House,
,LVNDSCAPE,Walk Away,Tropical House,
,Pendulum,Nothing For Free,Drumstep,
,Dillon Francis,Don't Let Me Let Go,Future Bass,
,R3HAB,Care,Trap,
,Tiësto,Quédate,Electro House,
,Jax Jones,Jacques,Future House,
,John De Sohn,Dance Our Tears Away,Festival Progressive House,
,ILLENIUM,I'll Be Your Reason,Trap,
,The Glitch Mob,Animus Vox,Glitch Hop,
,FRENSHIP,Carpet,,
,Adventure Club,Gold,Melodic Dubstep,
2022,Öwnboss,Left & Right,Brazilian Bass,
,Toby Romeo,WOW,-,
,Axel Johansson,The River,Tropical House,
,Matoma,I Don't Dance (Without You),Tropical House,
,R3HAB,All Into Nothing,,
,Diplo,Freak,Big Room House,
,Chase & Status,Time,Drum & Bass,
,Headhunterz,Kudalini,Electro House,
,Flume,Lose It,Future Bass,
,Icona Pop,Clap Snap,,
,Felix Jaehn,Shine,Tropical House,
,RL Grime,Waiting ,Trap,
,Hayden James,Nowhere To Go,Deep House,
,The Chemical Brothers,Got To Keep On,House,
,Naeleck,Home Alone,Tech Trance,
,Sigma,Higher,Dancefloor Drum & Bass,
,Bassnectar,You & Me,Brostep,
,Martin Garrix,Bouncybob,Electro House,
,Headhunterz,Kudalini,Big Room House,
,Jaxxwell,Bigroom Never Dies,Big Room House,
,The Knocks,TROUBLE,,
,HEDEGAARD,P.I.M.P.,,
,Marshmello,Home,Trap,
,Don Diablo,Something Just Like This,Future House,
,NIVIRO,The Ghost,Electro House,
,The Prodigy,Spitfire,Big Beat,
,Yves V,High Like This,Slap House,
,Skinny Days,Voices In My Head,,
,R3HAB,Care,Future Bass,
,Seeb,Under Your Skin,Tropical House,
,Just A Gent,Fortress,Electro House,
,ILLENIUM,God Damnit,Future Bass,
,Syn Cole,Breathe,,
,Bru-C,Freedom,Bassline,
,Alan Walker,Do It All For You,Electropop [EDM],
,Dubdogz,Dog Days,,
,F4ST,Blue,,
,Dada Life,This Time (Never Be Alone Again),Electro House,
2012,Feint,Time Bomb,Dancefloor Drum & Bass,
2018,Reverlries,Feel It Still,Tropical House,
,Darude,Feel The Beat,Euro-Trance,
2018,D-Sturb,Nothing Like The Oldschool,Frenchcore,
2021,Knock2,dashstar*,Bass House,
,John Summit,What A Life,Euro House,
2021,W&W,Moonlight Shadow,Hands Up,
,Avicii,Wake Me Up - VIP Remix,Festival Progressive House,
,Caravan Palace,Black Betty,Electro Swing,
,Stephen,"Crossfire, Pt. II",Trap,
,Above & Beyond,Sun & Moon,Progressive Trance,
,Skrillex,Scatta,,
,R3HAB,This Is How We Party,Future Bounce,
,Hippie Sabotage,Wrong Time,,
,Daft Punk,Human After All,Electroclash,
,Caravan Palace,Rock It For Me,Electro Swing,
,Ski Aggu,Theater,Euro-Trance,
,Yves V,Blow,Festival Progressive House,
,Tiësto,Resilient,Festival Progressive House,
,Robin Schulz,4 Life,Tropical House,
,Layto,Houndin,,
,Sandra Lyng,Play My Drum,Electro House,
,Benny Benassi,LOVELIFE,Deep House,
,Gorgon City,Go All Night,Diva House,
,Matoma,Knives,Tropical House,
,Jonas Blue,All Night Long,Electro House,
,Besomorph,Army,Trap,
,99 Souls,All My Friends,,
,Jauz,Magic,Trap,
,Crystal Castles,Baptism,Electroclash,
,The Prodigy,Voodoo People,Breakbeat Hardcore,
,Jacob Banks,Diddy Bop,,
,Andrew Rayel,Takeaway,Vocal Trance,
,MATTN,Girlz Wanna Have Fun,,
,Taska Black,Running Away,Trap,
,Oliver Nelson,Ghost,,
,Dillon Francis,Real Love,Diva House,
,Leona Lewis,Collide,Festival Progressive House,
,MARINA,Radioactive,Festival Progressive House,
,Lost Sky,Lost,Trap,
,Alison Wonderland,Run,Heaven Trap,
,ODESZA,White Lies,Future Bass,
,R3HAB,Strong,Electro House,
,Alesso,This Summer,Festival Progressive House,
,Mako,Into The Sunset,,
,Alle Farben,Home,,
,Campsite Dream,Don't Worry,,
,KC Lights,Girl,Tribal House,
,Armand Van Helden,Wings,Funky House,
,Seven Lions,Freesol,Melodic Dubstep,
,S3RL,Pretty Rave Girl,Hardstyle,
,Apashe,Battle Royale,Hybrid Trap,
,Diplo,Express Yourself,Twerk,
,Joel Corry,Rover,,
,Tujamo,Jook It,Bass House,
,LUM!X,Belly Dancer,Slap House,
,Anyma,Consciousness,Melodic Techno,
,Broiler,Money,Hip House,
,Gigi D'Agostino,La Passion,Italo Dance,
,Sofia Carson,Miss U More Than U Know,Tropical House,
,Mike Perry,Told You So,Tropical House,
,Louis The Child,Right To It,Tropical House,
,Marnik,Butterfly,,
,Tiësto,Unforgettable,Slap House,
,Rooftime,It's All About,,
,Party Favor,Give It To Me Twice,,
,Kav Verhouzer,Stap Voor Stap,Hip House,
,DROELOE,BACKBONE,Future Bass,
,Gigi D'Agostino,La Passion,Euro-Trance,
,DROELOE,BACKBONE,Trap,
,Don Diablo,People Say,Trap,
,DJ Snake,Ocho Cinco,Trap,
,Mi Casa,Chucks,,
2017,Two Friends,Out Of Love,,
2013,Parra for Curva,Fading Nights,Balearic Beat,
,Major Lazer,Can't Take It From Me,Trap,
2015,Garmiani,Jump & Sweat,Jungle Terror,
,Karen Harding,Say Something,Diva House,
2015,Garmiani,Jump & Sweat,Melbourne Bounce,
2015,Garmiani,Jump & Sweat,Big Room House,
,Eva Simons,Bludfire,Trap,
2016,SHY FX,Who Knows,Drum & Bass,
,Juicy J,Welcome To The Party,Trap,
,RÜFÜS DU SOL,I Don't Wanna Leave,,
,Broiler,Money,Melbourne Bounce,
,Mike Candys,One Night In Ibiza,Electro House,
,Cedric Gervais,Everybody Dance,,
,Luude,Oh My,Dancefloor Drum & Bass,
,Madison Mars,New Vibe Who Dis,Future House,
,Apashe,Lacrimosa,Hybrid Trap,
,KREAM,About You,Future House,
,Magic System,Premier Gaou,,
,Flume,Tiny Cities,Future Bass,
,DROELOE,Only Be Me,Future Bass,
,Lucas & Steve,Anywhere,Festival Progressive House,
,Marshmello,Crusade,Briddim,
,R3HAB,Alive,,
,Besomorph,Falling,Future Bass,
,Nightcrawlers,Push The Feeling On,Acid Jazz,
,Eliza Rose,Body Moving,Funky House,
,DJ Snake,Bird Machine,Festival Trap,
,Topic,Perfect,Future Bass,
,Skrillex,"The Island, Pt. 1 (Dawn)",Future Bass,
,San Holo,One Thing,Future Bass,
,ODESZA,Divide,Future Bass,
,Headhunterz,Colors,-,
,Jay Hardway,Electric Elephants,Electro House,
,GATTÜSO,Lullaby,Electro House,
,Gryffin,Don't Leave,Future House,
,Gryffin,First Time,Future House,
,ILLENIUM,Paper Thin,Future Bass,
,Rezidential,The Rhythm Of The Night,,
,Toro y Moi,Freelance,Funky House,
,Odetari,DOUBLE TROUBLE,Jersey Club,
,Alan Walker,Malibu,Future Bass,
,The Glitch Mob,Derezzed,Electro House,
,Diplo,Heat Waves,Future Bass,
,REZZ,Taste Of You,Midtempo Bass,
,Sash!,Adelante,Euro-Trance,
2018,Far Out,On My Own,Future Bass,
,Dillon Francis,Memories,Future Bass,
,Stereosct,London,,
2019,Deorro,Keep It Goin',Melbourne Bounce,
2019,Friction,Good To Me,Dancefloor Drum & Bass,
,Marshmello,Crusade,Brostep,
,Tiësto,Maximal Crazy,Electro House,
,DJ Snake,Let's Get ILL,G-House,
,Kordhell,MISS ME?,*Phonk House,
,Aqua,Around The World,Eurodance,
,French Kiwi Juice,Unstoppable,,
2000,French Affair,My Heart Goes Boom,Eurodance,
2008,Mark Knight,The Man With The Red Face,Progressive House,
2018,Danny Avila,Too Good To Be True,Future Bass,
2009,Moderat,Rusty Nails,Progressive Breaks,
2015,Atmozfears,Release,Euphoric Hardstyle,
2013,Parra for Curva,Fading Nights,Deep House,
,Matisse & Sadko,Don't Tell Me,Festival Progressive House,
,Dynoro,Elektro,-,
,LUM!X,Belly Dancer,Tech House,
,Louis The Child,Breaking News,,
,Becky Hill,Here For You,,
,Aero Chord,Boundless,Trap,
,Barren Gates,Enslaved,Trap,
,Disclosure,Good Intentions,Deep House,
,A-Trak,Ray Ban Vision,-,
,Galantis,Mama Look At Me Now,Festival Progressive House,
,Headhunterz,Live Your Life,Big Room House,
,Sash!,Mysterious Times,Euro-Trance,
,Vintage Culture,Feeling Good,Tech House,
,DJ Snake,Ocho Cinco,Hardstyle,
,Galantis,Firebird,Festival Progressive House,
,J Balvin,Dientes,Hip House,
,Sam Feldt,What About The Love,Festival Progressive House,
,Ran-D,Run From Reality,Hardstyle,
,Wildstylez,Great Spirit,Hardstyle,
,Sound Rush,Everytime We Touch,Euphoric Hardstyle,
,Alesso,THE END,Nu-Disco,
,Golden Features,Wolfie,-,
,Ofenbach,Love Me Now,-,
,S3RL,Pretty Rave Girl,UK Hardcore,
,Sash!,Mysterious Times,Vocal Trance,
,John O'Callaghan,Find Yourself,Vocal Trance,
,Seven Lions,Freesol,Future Bass,
,R3HAB,Hold On Tight,Future Bass,
,Rompasso,Angetenar - Remix,,
,DNMO,Broken,-,
,Felix Jaehn,The Nights,,
,Sofi Tukker,Good Time Girl,Tech House,
,Don Diablo,Head Up,Future House,
,Anuel AA,Vibra,Guaracha,
,Tiësto,Seavolution,Brostep,
,Andrew Rayel,Horizon,Big Room Trance,
,Claptone,My Head & My Heart,Euro House,
,Deborah De Luca,Children,Peak Time Techno,
,Steve Aoki,Back To Earth,-,
,Mike Williams,Without You,Future Bounce,
,Knife Party,LRAD,Big Room House,
,Lucas Estrada,White Flag,,
,Karen Harding,Say Something,UK Garage,
,HUGEL,Better,,
,Shallou,Make Believe,,
,Fred again..,Clara (the night is dark),Progressive House,
2024,Kygo,For Life,Tropical House,
2024,Dimitri Vegas & Like Mike,Tarantella,,
2024,Marcus & Martinus,Unforgettable,Future Rave,
2022,SHADXBXRN,KNIGHT,Phonk House,
2021,Vandelux,Motion,-,
2021,OBLXKQ,EUPHORIA SECRET,*Phonk House,
2020,The Blessed Madonna,Love Is Religion,Nu-Disco,
,Nu Aspect,Sinner,,
,RÜFÜS DU SOL,Rendezvous,,
,James Hype,Disconnected,Tech House,
,Paul Kalkbrenner,Invisible,Progressive House,
,TroyBoi,ili,,
,Steve Void,Toosie Slide,,
,Stereoact,London,,
,Sinéad Harnett,No Other Way,,
,Fedde Le Grand,Put Your Hands Up For Detroit,Electro House,
,DubVision,Ocean,Festival Progressive House,
,David Guetta,Lift Me Up,Festival Progressive House,
,Disclosure,Good Intentions,UK Garage,
,Flight Facilities,All Your Love,Deep House,
,Disclosure,Unholy,Tech House,
,DJ Snake,Try Me,Deep House,
,RL Grime,Core,Trap,
,ILLENIUM,Needed You,Drumstep,
,Dimitri Vegas & Like Mike,Ready For Action,Big Room House,
,Alok,I Don't Wanna Talk,Slap House,
,HUGEL,Ce Soir ?,House,
,Andrelli,Yung Luv,,
,Kx5,Move For Me,Progressive House,
,RetroVision,Puzzle,Future Bounce,
,Trinix,Tainted Love,Deep House,
,Black Coffee,Never Gonna Forget,Afro House,
,Diplo,Heat Waves,Trap,
,Vintage Culture,Losing,,
,Y.V.E. 48,Alone With You,,
,Audien,Chains,,
,Kav Verhouzer,Stap Voor Stap,Slap House,
,EDX,Don't Leave Me Alone,Future House,
,Joachim Pastor,Millenium,,
,Party Favor,Caskets,Moombahton,
2023,Wuki,Sunshine (My Girl),Funky House,
,Toby Romeo,What It Feels Like,,
,Jubël,So Sick,Tropical House,
,KC Lights,Girl,Tech House,
,Swedish House Mafia,Ray Of Solar,Euro-Trance,
,Sofia Carson,I Luv U,Future House,
,Röyksopp,Happy Up Here,,
2013,Ricky Martin,Come With Me,Dutch House,
2024,Odetari,DICE AND ROLL,,
2010,Skrillex,"With You, Friends (Long Drive)",Progressive House,
2015,Pegboard Nerds,Swamp Thing,Melbourne Bounce,
2014,Bellini,Samba do Brasil,,
2015,Pegboard Nerds,Swamp Thing,Hybrid Trap,
,HUGEL,Mi Gente,,
2016,Behmer,Clowntown 2017,,
2017,Stereoact,Denkmal,Tropical House,
2018,Bass Modulators,Imagine,Euphoric Hardstyle,
,Naughty Boy,No One's Here To Sleep,,
,Toy-Box,Tarzan & Jane,Bubblegum Dance,
2018,Alok,Pray,Future Bass,
2010,Skrillex,"With You, Friends (Long Drive)",Electro House,
,Cheat Codes,No Chill,Future Bass,
,French Kiwi Juice,Waiting,-,
,Martin Garrix,Oops,Electro House,
,RL Grime,Stay For It,Heaven Trap,
,Nicky Romero,Lovefool,Festival Progressive House,
,Nicky Romero,Iron,Electro House,
,Disclosure,Jaded,UK Garage,
,Flume,Gold,-,
,Solomun,Eating Hooks,,
,Marshmello,Blocks,Trap,
,Sam Feldt,Rise,,
,Louis The Child,Big Love,Trap,
,R3HAB,Most People,Tropical House,
,KAYTRANADA,DRIVE ME CRAZY,Wonky,
,Alice Deejay,Back In My Life,Euro-Trance,
2012,Maduk,Ghost Assassin,Atmospheric Drum & Bass,
,Calvin Harris,Slow Acid,Midtempo Bass,
,Kaskade,Fun,G-House,
,RHODES,Your Soul (Holding On),-,
,Marshmello,Blocks,Future Bass,
,Years,Belong,,
,Eliza Rose,Body Moving,Garage House,
,Bizarrap,"MHD: Bzrp Music Sessions, Vol 44",Hip House,
,Jonas Blue,Old Friends,,
,Martin Jensen,Can't Come To The Phone,,
,Showtek,Natural Blues,Future House,
,Mike Candys,Like That,Dutch House,
,Tez Cadey,Walls,,
,Soulwax,Let It Happen,Electro House,
,Flume,My Boo,Wonky,
,Angerfist,Solid Stigma,Hardcore,
,Flume,Blue,Future Bass,
,Kordhell,Wig Split,*Phonk House,
,NEFFEX,Dangerous,Trap,
,Diplo,edamame,G-House,
2020,Lucas & Steve,I Want It All,Festival Progressive House,
,Justin Caruso,Unsteady,,
,SLANDER,Back To U,Melodic Dubstep,
,Elektronomia,Energy,Festival Progressive House,
,Anyma,The Sign,,
2024,Kungs,All Night Long,Euro House,
